dgbas_id,name
1000105-070,後德里
1000105-071,建安里
1000105-072,成德里
1000105-073,福興里
1000105-074,昌信里
1000106-023,員潭里
1000105-075,昌隆里
1000105-076,中平里
1000105-077,立廷里
1000105-078,泰豐里
1000105-079,富民里
1000105-080,龍福里
1000105-081,祥鳳里
1000105-082,民全里
1000105-083,民有里
1000105-084,光正里
1000105-085,光和里
1000106-001,國豐里
1000106-002,明德里
1000106-003,大豐里
1000106-004,大同里
1000106-005,江陵里
1000106-006,寶興里
1000106-007,寶安里
1000106-008,信義里
1000106-009,忠孝里
1000106-010,大鵬里
1000106-011,太平里
1000106-012,頂城里
1000106-013,下城里
1000106-014,柴埕里
1000106-015,永安里
1000106-016,公崙里
1000106-017,德安里
1000106-018,雙城里
1000106-019,日興里
1000106-020,玫瑰里
1000106-021,塗潭里
1000106-022,美潭里
1000106-024,雙坑里
1000106-025,粗坑里
1000106-026,屈尺里
1000106-027,龜山里
1000106-028,廣興里
1000106-029,直潭里
1000106-030,青潭里
1000106-031,新店里
1000106-032,張南里
1000106-033,國校里
1000106-034,文中里
1000106-035,廣明里
1000106-036,文明里
1000106-037,中興里
1000106-038,新生里
1000106-039,新德里
1000106-040,張北里
1000106-041,五峯里
1000106-042,新安里
1000106-043,忠誠里
1000106-044,中正里
1000106-045,中華里
1000106-046,仁愛里
1000106-047,百忍里
1000106-048,百和里
1000106-049,福德里
1000106-050,百福里
1000106-051,福民里
1000106-052,中山里
1000106-053,和平里
1000106-054,中央里
1000106-055,明城里
1000106-056,安和里
1000106-057,吉祥里
1000106-058,寶福里
1000106-059,小城里
1000106-060,香坡里
1000106-061,建國里
1000106-062,復興里
1000106-063,美城里
1000106-064,安昌里
1000106-065,長春里
1000106-066,新和里
1000106-067,永平里
1000106-068,達觀里
1000106-069,華城里
1000107-001,三多里
1000107-002,三福里
1000107-003,三興里
1000107-004,圳安里
1000107-005,保安里
1000107-006,潭底里
1000107-007,獇寮里
1000107-008,樹德里
1000107-009,樹西里
1000107-010,樹南里
1000107-011,樹人里
1000107-012,坡內里
1000107-013,樹東里
1000107-014,大同里
1000107-015,和平里
1000107-016,彭厝里
1000107-017,彭福里
1000107-018,東山里
1000107-019,東陽里
1000107-020,東昇里
1000107-022,樂山里
1000107-023,東園里
1000107-024,西園里
1000107-025,南園里
1000107-026,北園里
1000107-027,柑園里
1000107-028,樹北里
1000107-029,圳福里
1000107-030,樹興里
1000107-031,樹福里
1000107-032,光興里
1000107-033,金寮里
1000107-034,彭興里
1000107-035,文林里
1000107-036,山佳里
1000107-037,中山里
1000107-038,育英里
1000107-039,中華里
1000107-040,太順里
1000107-041,圳民里
1000107-042,圳生里
1000107-043,三龍里
1000108-001,東鶯里
1000108-002,西鶯里
1000108-003,南鶯里
1000108-004,北鶯里
1000108-005,中鶯里
1000108-006,建德里
1000108-007,同慶里
1000108-008,永昌里
1000108-009,南靖里
1000108-010,尖山里
1000108-011,二橋里
1000108-012,二甲里
1000108-013,東湖里
1000108-014,大湖里
1000108-015,鳳鳴里
1000108-016,鳳福里
1000108-017,永吉里
1000108-018,中湖里
1000108-019,鳳祥里
1000108-020,建國里
1000109-001,三峽里
1000109-002,秀川里
1000109-003,八張里
1000109-004,中埔里
1000109-005,弘道里
1000109-006,永舘里
1000109-007,礁溪里
1000109-008,鳶山里
1000109-009,龍埔里
1000109-010,大埔里
1000109-011,嘉添里
1000109-012,添福里
1000109-013,金圳里
1000109-014,五寮里
1000109-015,插角里
1000109-016,有木里
1000109-017,溪北里
1000109-018,溪南里
1000109-019,溪東里
1000109-020,成福里
1000109-021,安坑里
1000109-022,竹崙里
1000109-023,介壽里
1000109-024,安溪里
1000109-025,中正里
1000109-026,二鬮里
1000109-027,龍學里
1000109-028,龍恩里
1000110-001,中和里
1000110-002,屯山里
1000110-003,賢孝里
1000110-004,興仁里
1000110-005,蕃薯里
1000110-006,義山里
1000110-007,忠山里
1000110-008,崁頂里
1000110-009,埤島里
1000110-010,新興里
1000110-011,水碓里
1000110-012,北投里
1000110-013,水源里
1000110-014,忠寮里
1000110-015,樹興里
1000110-016,坪頂里
1000110-017,福德里
1000110-018,竹圍里
